Category: Nature,Category: Type,Location: Suburb
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,KARANA DOWNS
Public Health/Safety,Food Premises,KANGAROO POINT
Public Health/Safety,Food Premises,NEW FARM
Public Health/Safety,Food Premises,
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Food Premises,INALA
Public Health/Safety,Unsafe Food/Infection,WACOL
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,WEST END
Public Health/Safety,Food Premises,STONES CORNER
Public Health/Safety,Unsafe Food/Infection,INALA
Public Health/Safety,Food Premises,HIGHGATE HILL
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,ALBION
Public Health/Safety,Food Premises,BULIMBA
Public Health/Safety,Unsafe Food/Infection,RICHLANDS
Public Health/Safety,Unsafe Food/Infection,CORINDA
Public Health/Safety,Food Premises,CARSELDINE
Public Health/Safety,Food Premises,BULIMBA
Public Health/Safety,Food Premises,SUNNYBANK
Public Health/Safety,Food Premises,SUMNER
Public Health/Safety,Food Premises,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,EIGHT MILE PLAINS
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,SUNNYBANK HILLS
Public Health/Safety,Unsafe Food/Infection,WACOL
Public Health/Safety,Food Premises,HERSTON
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK HILLS
Public Health/Safety,Food Premises,MOOROOKA
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Food Premises,KELVIN GROVE
Public Health/Safety,Unsafe Food/Infection,KELVIN GROVE
Public Health/Safety,Unsafe Food/Infection,MANLY WEST
Public Health/Safety,Unsafe Food/Infection,BELLBOWRIE
Public Health/Safety,Food Premises,ARCHERFIELD
Public Health/Safety,Food Premises,TOOWONG
Public Health/Safety,Unsafe Food/Infection,MORNINGSIDE
Public Health/Safety,Unsafe Food/Infection,ASPLEY
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Food Premises,MANLY
Public Health/Safety,Food Premises,MOUNT OMMANEY
Public Health/Safety,Unsafe Food/Infection,NUNDAH
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Food Premises,COOPERS PLAINS
Public Health/Safety,Food Premises,ROBERTSON
