Category: Nature,Category: Type,Location: Suburb
Public Health/Safety,Food Premises,ASPLEY
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Food Premises,MANLY WEST
Public Health/Safety,Unsafe Food/Infection,BRIGHTON
Public Health/Safety,Food Premises,WYNNUM
Public Health/Safety,Food Premises,SANDGATE
Public Health/Safety,Unsafe Food/Infection,STONES CORNER
Public Health/Safety,Food Premises,ARCHERFIELD
Public Health/Safety,Unsafe Food/Infection,KANGAROO POINT
Public Health/Safety,Unsafe Food/Infection,KEDRON
Public Health/Safety,Food Premises,SANDGATE
Public Health/Safety,Unsafe Food/Infection,GRANGE
Public Health/Safety,Unsafe Food/Infection,MITCHELTON
Public Health/Safety,Unsafe Food/Infection,BRISBANE AIRPORT
Public Health/Safety,Unsafe Food/Infection,STAFFORD HEIGHTS
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,CANNON HILL
Public Health/Safety,Food Premises,CANNON HILL
Public Health/Safety,Food Premises,
Public Health/Safety,Unsafe Food/Infection,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,EIGHT MILE PLAINS
Public Health/Safety,Food Premises,GAYTHORNE
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK HILLS
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,WOOLOOWIN
Public Health/Safety,Unsafe Food/Infection,WACOL
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,ANNERLEY
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,CALAMVALE
Public Health/Safety,Food Premises,EIGHT MILE PLAINS
Public Health/Safety,Unsafe Food/Infection,BELLBOWRIE
Public Health/Safety,Food Premises,BULIMBA
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,ACACIA RIDGE
Public Health/Safety,Unsafe Food/Infection,KEPERRA
Public Health/Safety,Food Premises,WYNNUM
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,MOOROOKA
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Food Premises,NEW FARM
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Food Premises,HENDRA
Public Health/Safety,Food Premises,DARRA
Public Health/Safety,Food Premises,ROCKLEA
Public Health/Safety,Unsafe Food/Infection,WYNNUM WEST
Public Health/Safety,Unsafe Food/Infection,NUNDAH
Public Health/Safety,Food Premises,YERONGA
Public Health/Safety,Food Premises,KANGAROO POINT
Public Health/Safety,Food Premises,KEPERRA
Public Health/Safety,Unsafe Food/Infection,HENDRA
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Food Premises,BOONDALL
Public Health/Safety,Food Premises,MOOROOKA
Public Health/Safety,Unsafe Food/Infection,ST LUCIA
Public Health/Safety,Food Premises,KEDRON
Public Health/Safety,Food Premises,DEAGON
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,WYNNUM
Public Health/Safety,Food Premises,FOREST LAKE
Public Health/Safety,Food Premises,CARINDALE
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Food Premises,INALA
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Food Premises,BRACKEN RIDGE
Public Health/Safety,Unsafe Food/Infection,TOOWONG
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Food Premises,MOUNT GRAVATT EAST
Public Health/Safety,Unsafe Food/Infection,NUNDAH
Public Health/Safety,Unsafe Food/Infection,ST LUCIA
Public Health/Safety,Unsafe Food/Infection,WEST END
Public Health/Safety,Food Premises,RUNCORN
Public Health/Safety,Food Premises,ASCOT
Public Health/Safety,Unsafe Food/Infection,GREENSLOPES
Public Health/Safety,Food Premises,GRANGE
Public Health/Safety,Unsafe Food/Infection,ROCKLEA
Public Health/Safety,Unsafe Food/Infection,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,NUNDAH
Public Health/Safety,Unsafe Food/Infection,ASCOT
Public Health/Safety,Food Premises,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,CANNON HILL
Public Health/Safety,Unsafe Food/Infection,BRIGHTON
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,KELVIN GROVE
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK HILLS
Public Health/Safety,Unsafe Food/Infection,SINNAMON PARK
Public Health/Safety,Food Premises,BARDON
Public Health/Safety,Unsafe Food/Infection,MITCHELTON
Public Health/Safety,Unsafe Food/Infection,CARINDALE
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,MILTON
Public Health/Safety,Unsafe Food/Infection,NORMAN PARK
Public Health/Safety,Unsafe Food/Infection,MORETON ISLAND
Public Health/Safety,Unsafe Food/Infection,STONES CORNER
Public Health/Safety,Unsafe Food/Infection,SPRING HILL
Public Health/Safety,Food Premises,BOONDALL
Public Health/Safety,Unsafe Food/Infection,NORMAN PARK
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Food Premises,NORMAN PARK
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,STAFFORD
Public Health/Safety,Unsafe Food/Infection,HIGHGATE HILL
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,SHORNCLIFFE
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,BRISBANE AIRPORT
Public Health/Safety,Unsafe Food/Infection,
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,PADDINGTON
Public Health/Safety,Food Premises,NUNDAH
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,MOUNT OMMANEY
Public Health/Safety,Unsafe Food/Infection,TINGALPA
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,ST LUCIA
Public Health/Safety,Unsafe Food/Infection,KEPERRA
Public Health/Safety,Food Premises,HEMMANT
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,COORPAROO
Public Health/Safety,Unsafe Food/Infection,MOUNT OMMANEY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,HERSTON
Public Health/Safety,Unsafe Food/Infection,RUNCORN
Public Health/Safety,Unsafe Food/Infection,NUNDAH
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,GEEBUNG
Public Health/Safety,Food Premises,WINDSOR
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,WAVELL HEIGHTS
Public Health/Safety,Unsafe Food/Infection,PADDINGTON
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,BULIMBA
Public Health/Safety,Food Premises,SUNNYBANK
