Category: Nature,Category: Type,Location: Suburb
Public Health/Safety,Unsafe Food/Infection,ROCKLEA
Public Health/Safety,Food Premises,ASHGROVE
Public Health/Safety,Unsafe Food/Infection,HAMILTON
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Food Premises,SUNNYBANK HILLS
Public Health/Safety,Food Premises,SANDGATE
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Food Premises,INDOOROOPILLY
Public Health/Safety,Unsafe Food/Infection,CLAYFIELD
Public Health/Safety,Food Premises,KANGAROO POINT
Public Health/Safety,Food Premises,MOUNT OMMANEY
Public Health/Safety,Unsafe Food/Infection,MANLY WEST
Public Health/Safety,Food Premises,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,GREENSLOPES
Public Health/Safety,Food Premises,MOOROOKA
Public Health/Safety,Unsafe Food/Infection,COOPERS PLAINS
Public Health/Safety,Food Premises,WAKERLEY
Public Health/Safety,Food Premises,ANNERLEY
Public Health/Safety,Food Premises,WYNNUM WEST
Public Health/Safety,Unsafe Food/Infection,ROBERTSON
Public Health/Safety,Food Premises,CARINA
Public Health/Safety,Unsafe Food/Infection,COOPERS PLAINS
Public Health/Safety,Unsafe Food/Infection,COOPERS PLAINS
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,OXLEY
Public Health/Safety,Food Premises,NEW FARM
Public Health/Safety,Food Premises,NEW FARM
Public Health/Safety,Unsafe Food/Infection,FOREST LAKE
Public Health/Safety,Food Premises,ASPLEY
Public Health/Safety,Unsafe Food/Infection,COORPAROO
Public Health/Safety,Food Premises,ACACIA RIDGE
Public Health/Safety,Unsafe Food/Infection,KEPERRA
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Food Premises,TARRAGINDI
Public Health/Safety,Food Premises,SANDGATE
Public Health/Safety,Unsafe Food/Infection,KANGAROO POINT
Public Health/Safety,Food Premises,EVERTON PARK
Public Health/Safety,Unsafe Food/Infection,KENMORE
Public Health/Safety,Unsafe Food/Infection,EIGHT MILE PLAINS
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Unsafe Food/Infection,CAMP HILL
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Unsafe Food/Infection,SANDGATE
Public Health/Safety,Food Premises,NUNDAH
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,NEWSTEAD
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Food Premises,INALA
Public Health/Safety,Food Premises,SUNNYBANK HILLS
Public Health/Safety,Food Premises,CLAYFIELD
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Unsafe Food/Infection,COOPERS PLAINS
Public Health/Safety,Food Premises,MITCHELTON
Public Health/Safety,Unsafe Food/Infection,ACACIA RIDGE
Public Health/Safety,Food Premises,MIDDLE PARK
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,DARRA
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,KOORINGAL
Public Health/Safety,Unsafe Food/Infection,ROCKLEA
Public Health/Safety,Food Premises,ROCKLEA
Public Health/Safety,Unsafe Food/Infection,MITCHELTON
Public Health/Safety,Food Premises,MORNINGSIDE
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Food Premises,ACACIA RIDGE
Public Health/Safety,Food Premises,FOREST LAKE
Public Health/Safety,Unsafe Food/Infection,WACOL
Public Health/Safety,Food Premises,NEW FARM
Public Health/Safety,Food Premises,CALAMVALE
Public Health/Safety,Unsafe Food/Infection,PADDINGTON
Public Health/Safety,Food Premises,GRACEVILLE
Public Health/Safety,Unsafe Food/Infection,KEPERRA
Public Health/Safety,Unsafe Food/Infection,HAMILTON
Public Health/Safety,Unsafe Food/Infection,ST LUCIA
Public Health/Safety,Food Premises,HAMILTON
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,CARINDALE
Public Health/Safety,Unsafe Food/Infection,MACGREGOR
Public Health/Safety,Food Premises,SANDGATE
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,SANDGATE
Public Health/Safety,Food Premises,TOOWONG
Public Health/Safety,Food Premises,COORPAROO
Public Health/Safety,Unsafe Food/Infection,WEST END
Public Health/Safety,Food Premises,SUNNYBANK HILLS
Public Health/Safety,Unsafe Food/Infection,CARINDALE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,HAMILTON
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,BRISBANE AIRPORT
Public Health/Safety,Unsafe Food/Infection,MANLY
Public Health/Safety,Unsafe Food/Infection,NUNDAH
Public Health/Safety,Food Premises,SHERWOOD
Public Health/Safety,Food Premises,HAWTHORNE
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Food Premises,SANDGATE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,GREENSLOPES
Public Health/Safety,Food Premises,NORTHGATE
Public Health/Safety,Unsafe Food/Infection,MOUNT GRAVATT EAST
Public Health/Safety,Food Premises,GRANGE
Public Health/Safety,Food Premises,STAFFORD
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,CARINDALE
Public Health/Safety,Unsafe Food/Infection,COORPAROO
Public Health/Safety,Unsafe Food/Infection,MOUNT OMMANEY
Public Health/Safety,Unsafe Food/Infection,MANLY
Public Health/Safety,Unsafe Food/Infection,MOUNT COOT-THA
Public Health/Safety,Food Premises,MANLY
Public Health/Safety,Unsafe Food/Infection,STAFFORD
Public Health/Safety,Unsafe Food/Infection,WYNNUM WEST
Public Health/Safety,Food Premises,COOPERS PLAINS
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Food Premises,MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,WAVELL HEIGHTS
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Food Premises,ACACIA RIDGE
Public Health/Safety,Unsafe Food/Infection,MANLY
Public Health/Safety,Unsafe Food/Infection,WEST END
Public Health/Safety,Unsafe Food/Infection,ALGESTER
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,EVERTON PARK
Public Health/Safety,Food Premises,ASPLEY
Public Health/Safety,Food Premises,SEVEN HILLS
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Food Premises,SALISBURY
Public Health/Safety,Food Premises,GREENSLOPES
Public Health/Safety,Food Premises,ANNERLEY
Public Health/Safety,Unsafe Food/Infection,COORPAROO
Public Health/Safety,Food Premises,CAMP HILL
Public Health/Safety,Unsafe Food/Infection,HIGHGATE HILL
Public Health/Safety,Food Premises,WYNNUM
Public Health/Safety,Unsafe Food/Infection,ASPLEY
Public Health/Safety,Food Premises,HAMILTON
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,MORNINGSIDE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,MITCHELTON
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Unsafe Food/Infection,BOONDALL
Public Health/Safety,Unsafe Food/Infection,WYNNUM WEST
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Unsafe Food/Infection,EVERTON PARK
Public Health/Safety,Unsafe Food/Infection,HAMILTON
Public Health/Safety,Unsafe Food/Infection,ENOGGERA
Public Health/Safety,Unsafe Food/Infection,INALA
Public Health/Safety,Unsafe Food/Infection,NEW FARM
Public Health/Safety,Food Premises,
Public Health/Safety,Unsafe Food/Infection,COORPAROO
Public Health/Safety,Unsafe Food/Infection,TOOWONG
Public Health/Safety,Food Premises,ANNERLEY
Public Health/Safety,Unsafe Food/Infection,WEST END
Public Health/Safety,Unsafe Food/Infection,LARAPINTA
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,HAMILTON
Public Health/Safety,Unsafe Food/Infection,SALISBURY
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,MOUNT GRAVATT EAST
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,RUNCORN
Public Health/Safety,Unsafe Food/Infection,MITCHELTON
Public Health/Safety,Food Premises,SPRING HILL
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Food Premises,
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,FOREST LAKE
Public Health/Safety,Unsafe Food/Infection,HEMMANT
Public Health/Safety,Food Premises,ROCKLEA
Public Health/Safety,Unsafe Food/Infection,MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,BANYO
Public Health/Safety,Unsafe Food/Infection,HOLLAND PARK
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,KENMORE
Public Health/Safety,Food Premises,SALISBURY
Public Health/Safety,Food Premises,SUNNYBANK HILLS
Public Health/Safety,Unsafe Food/Infection,GRANGE
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Unsafe Food/Infection,WYNNUM
Public Health/Safety,Unsafe Food/Infection,MOUNT OMMANEY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,SUNNYBANK HILLS
Public Health/Safety,Food Premises,KEPERRA
Public Health/Safety,Food Premises,NEW FARM
Public Health/Safety,Food Premises,CARINDALE
Public Health/Safety,Food Premises,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,STAFFORD
Public Health/Safety,Food Premises,PARKINSON
Public Health/Safety,Food Premises,SUNNYBANK
Public Health/Safety,Food Premises,MACGREGOR
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,MOUNT OMMANEY
Public Health/Safety,Unsafe Food/Infection,COORPAROO
Public Health/Safety,Food Premises,NUNDAH
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,WEST END
Public Health/Safety,Food Premises,CARINA
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,WEST END
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,WYNNUM
Public Health/Safety,Food Premises,MANLY WEST
Public Health/Safety,Unsafe Food/Infection,GRACEVILLE
Public Health/Safety,Unsafe Food/Infection,KURABY
Public Health/Safety,Unsafe Food/Infection,SALISBURY
Public Health/Safety,Food Premises,CORINDA
Public Health/Safety,Unsafe Food/Infection,MORNINGSIDE
