Category: Nature,Category: Type,Location: Suburb
Public Health/Safety,Food Premises,SANDGATE
Public Health/Safety,Food Premises,
Public Health/Safety,Food Premises,GRACEVILLE
Public Health/Safety,Food Premises,DARRA
Public Health/Safety,Unsafe Food/Infection,DARRA
Public Health/Safety,Food Premises,TARINGA
Public Health/Safety,Unsafe Food/Infection,PETRIE TERRACE
Public Health/Safety,Food Premises,CARSELDINE
Public Health/Safety,Food Premises,CARINDALE
Public Health/Safety,Food Premises,KELVIN GROVE
Public Health/Safety,Food Premises,SALISBURY
Public Health/Safety,Food Premises,COORPAROO
Public Health/Safety,Unsafe Food/Infection,BRISBANE AIRPORT
Public Health/Safety,Unsafe Food/Infection,SALISBURY
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,WEST END
Public Health/Safety,Unsafe Food/Infection,COOPERS PLAINS
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Food Premises,GAYTHORNE
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,SUMNER
Public Health/Safety,Food Premises,ROCKLEA
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,MANLY
Public Health/Safety,Unsafe Food/Infection,BOWEN HILLS
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,KENMORE
Public Health/Safety,Food Premises,SALISBURY
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK HILLS
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,CARINDALE
Public Health/Safety,Unsafe Food/Infection,TENERIFFE
Public Health/Safety,Food Premises,INALA
Public Health/Safety,Food Premises,ROCKLEA
Public Health/Safety,Food Premises,CALAMVALE
Public Health/Safety,Unsafe Food/Infection,WYNNUM WEST
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Unsafe Food/Infection,MANLY WEST
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,KANGAROO POINT
Public Health/Safety,Unsafe Food/Infection,MANLY WEST
Public Health/Safety,Food Premises,MACGREGOR
Public Health/Safety,Unsafe Food/Infection,HAMILTON
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,MORNINGSIDE
Public Health/Safety,Food Premises,MOOROOKA
Public Health/Safety,Food Premises,BULIMBA
Public Health/Safety,Unsafe Food/Infection,CHERMSIDE
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,UNDERWOOD
Public Health/Safety,Food Premises,ROCKLEA
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,BRACKEN RIDGE
Public Health/Safety,Food Premises,INALA
Public Health/Safety,Unsafe Food/Infection,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,ZILLMERE
Public Health/Safety,Food Premises,MOOROOKA
Public Health/Safety,Food Premises,TARRAGINDI
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,MURARRIE
Public Health/Safety,Unsafe Food/Infection,BANYO
Public Health/Safety,Unsafe Food/Infection,BANYO
Public Health/Safety,Unsafe Food/Infection,MOUNT GRAVATT EAST
Public Health/Safety,Unsafe Food/Infection,EVERTON PARK
Public Health/Safety,Food Premises,MOUNT OMMANEY
Public Health/Safety,Unsafe Food/Infection,ST LUCIA
Public Health/Safety,Food Premises,SUNNYBANK
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,KEDRON
Public Health/Safety,Unsafe Food/Infection,TOOWONG
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,MOUNT GRAVATT
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,WYNNUM
Public Health/Safety,Unsafe Food/Infection,CANNON HILL
Public Health/Safety,Unsafe Food/Infection,TARRAGINDI
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,INALA
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Food Premises,FOREST LAKE
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
