Category: Nature,Category: Type,Location: Suburb
Public Health/Safety,Unsafe Food/Infection,BULIMBA
Public Health/Safety,Food Premises,KELVIN GROVE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,EIGHT MILE PLAINS
Public Health/Safety,Unsafe Food/Infection,RUNCORN
Public Health/Safety,Food Premises,MOOROOKA
Public Health/Safety,Unsafe Food/Infection,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,GREENSLOPES
Public Health/Safety,Food Premises,WINDSOR
Public Health/Safety,Food Premises,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,FOREST LAKE
Public Health/Safety,Unsafe Food/Infection,TARRAGINDI
Public Health/Safety,Unsafe Food/Infection,VIRGINIA
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,MANLY
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,BRACKEN RIDGE
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,BRISBANE AIRPORT
Public Health/Safety,Food Premises,RUNCORN
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Unsafe Food/Infection,KEDRON
Public Health/Safety,Unsafe Food/Infection,WYNNUM
Public Health/Safety,Food Premises,STAFFORD
Public Health/Safety,Food Premises,ALDERLEY
Public Health/Safety,Food Premises,MORNINGSIDE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,ANNERLEY
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Food Premises,SPRING HILL
Public Health/Safety,Food Premises,NUNDAH
Public Health/Safety,Food Premises,CARINA
Public Health/Safety,Food Premises,BRISBANE AIRPORT
Public Health/Safety,Food Premises,CLAYFIELD
Public Health/Safety,Food Premises,NUNDAH
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,VIRGINIA
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,BALMORAL
Public Health/Safety,Unsafe Food/Infection,MANLY WEST
Public Health/Safety,Unsafe Food/Infection,GRANGE
Public Health/Safety,Food Premises,BRIGHTON
Public Health/Safety,Food Premises,ROCKLEA
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,WEST END
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,NEW FARM
Public Health/Safety,Unsafe Food/Infection,CHERMSIDE
Public Health/Safety,Food Premises,ACACIA RIDGE
Public Health/Safety,Unsafe Food/Infection,GREENSLOPES
Public Health/Safety,Food Premises,WYNNUM
Public Health/Safety,Food Premises,NEWSTEAD
Public Health/Safety,Food Premises,KENMORE
Public Health/Safety,Unsafe Food/Infection,WEST END
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,MOOROOKA
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Food Premises,WOOLLOONGABBA
