Category: Nature,Category: Type,Location: Suburb
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Food Premises,MURARRIE
Public Health/Safety,Unsafe Food/Infection,WACOL
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK HILLS
Public Health/Safety,Food Premises,NEW FARM
Public Health/Safety,Food Premises,COORPAROO
Public Health/Safety,Unsafe Food/Infection,JINDALEE
Public Health/Safety,Unsafe Food/Infection,SPRING HILL
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,WAVELL HEIGHTS
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Food Premises,COOPERS PLAINS
Public Health/Safety,Unsafe Food/Infection,CALAMVALE
Public Health/Safety,Food Premises,MORNINGSIDE
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Food Premises,INALA
Public Health/Safety,Unsafe Food/Infection,MANLY WEST
Public Health/Safety,Food Premises,HAWTHORNE
Public Health/Safety,Unsafe Food/Infection,MORETON ISLAND
Public Health/Safety,Food Premises,BULIMBA
Public Health/Safety,Food Premises,GREENSLOPES
Public Health/Safety,Unsafe Food/Infection,NUNDAH
Public Health/Safety,Food Premises,MORNINGSIDE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,NUNDAH
Public Health/Safety,Food Premises,WYNNUM WEST
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,EVERTON PARK
Public Health/Safety,Unsafe Food/Infection,WOOLLOONGABBA
Public Health/Safety,Food Premises,BRISBANE AIRPORT
Public Health/Safety,Food Premises,CANNON HILL
Public Health/Safety,Food Premises,SHORNCLIFFE
Public Health/Safety,Unsafe Food/Infection,CALAMVALE
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,INALA
Public Health/Safety,Unsafe Food/Infection,EVERTON PARK
Public Health/Safety,Food Premises,NUNDAH
Public Health/Safety,Unsafe Food/Infection,BALMORAL
Public Health/Safety,Food Premises,GREENSLOPES
Public Health/Safety,Unsafe Food/Infection,ACACIA RIDGE
Public Health/Safety,Unsafe Food/Infection,MOUNT OMMANEY
Public Health/Safety,Food Premises,MURARRIE
Public Health/Safety,Unsafe Food/Infection,DARRA
Public Health/Safety,Food Premises,BELLBOWRIE
Public Health/Safety,Unsafe Food/Infection,MILTON
Public Health/Safety,Food Premises,COORPAROO
Public Health/Safety,Food Premises,COORPAROO
Public Health/Safety,Food Premises,ENOGGERA
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK HILLS
Public Health/Safety,Unsafe Food/Infection,BRISBANE AIRPORT
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Unsafe Food/Infection,TINGALPA
Public Health/Safety,Unsafe Food/Infection,VIRGINIA
Public Health/Safety,Food Premises,WOOLOOWIN
Public Health/Safety,Unsafe Food/Infection,TINGALPA
Public Health/Safety,Unsafe Food/Infection,TINGALPA
Public Health/Safety,Unsafe Food/Infection,BANYO
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Unsafe Food/Infection,ASPLEY
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,FOREST LAKE
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,TENERIFFE
Public Health/Safety,Unsafe Food/Infection,KEDRON
Public Health/Safety,Food Premises,COORPAROO
Public Health/Safety,Unsafe Food/Infection,FOREST LAKE
Public Health/Safety,Unsafe Food/Infection,MILTON
Public Health/Safety,Unsafe Food/Infection,OXLEY
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Food Premises,YERONGA
Public Health/Safety,Unsafe Food/Infection,BOONDALL
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Food Premises,KELVIN GROVE
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,TINGALPA
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Food Premises,MILTON
Public Health/Safety,Food Premises,DURACK
Public Health/Safety,Unsafe Food/Infection,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,MANLY WEST
Public Health/Safety,Unsafe Food/Infection,HAMILTON
Public Health/Safety,Food Premises,ST LUCIA
Public Health/Safety,Unsafe Food/Infection,COORPAROO
Public Health/Safety,Unsafe Food/Infection,ASPLEY
Public Health/Safety,Unsafe Food/Infection,NEWSTEAD
Public Health/Safety,Unsafe Food/Infection,KANGAROO POINT
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK HILLS
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Food Premises,SEVEN HILLS
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,KARANA DOWNS
Public Health/Safety,Unsafe Food/Infection,WISHART
