Category: Nature,Category: Type,Location: Suburb
Public Health/Safety,Unsafe Food/Infection,KEPERRA
Public Health/Safety,Food Premises,ROBERTSON
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,ACACIA RIDGE
Public Health/Safety,Food Premises,CARINA
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,ZILLMERE
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,COORPAROO
Public Health/Safety,Unsafe Food/Infection,TOOWONG
Public Health/Safety,Unsafe Food/Infection,MILTON
Public Health/Safety,Unsafe Food/Infection,WACOL
Public Health/Safety,Unsafe Food/Infection,TOOWONG
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK HILLS
Public Health/Safety,Food Premises,ENOGGERA
Public Health/Safety,Unsafe Food/Infection,BELLBOWRIE
Public Health/Safety,Food Premises,MORNINGSIDE
Public Health/Safety,Food Premises,DOOLANDELLA
Public Health/Safety,Unsafe Food/Infection,TOOWONG
Public Health/Safety,Food Premises,COORPAROO
Public Health/Safety,Food Premises,CARINDALE
Public Health/Safety,Food Premises,HAMILTON
Public Health/Safety,Food Premises,HAMILTON
Public Health/Safety,Food Premises,RUNCORN
Public Health/Safety,Unsafe Food/Infection,CLAYFIELD
Public Health/Safety,Food Premises,THE GAP
Public Health/Safety,Food Premises,CALAMVALE
Public Health/Safety,Food Premises,BRIGHTON
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Unsafe Food/Infection,RUNCORN
Public Health/Safety,Unsafe Food/Infection,NORTHGATE
Public Health/Safety,Food Premises,NORTHGATE
Public Health/Safety,Food Premises,NUNDAH
Public Health/Safety,Food Premises,TARINGA
Public Health/Safety,Unsafe Food/Infection,SPRING HILL
Public Health/Safety,Food Premises,WYNNUM
Public Health/Safety,Food Premises,ST LUCIA
Public Health/Safety,Food Premises,CANNON HILL
